"ui","rootSource","uri","name"
"C0853351","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0853351","Cerebrospinal fluid red blood cell count positive"
"C0855504","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0855504","Red blood cells semen procedure"
NA,NA,NA,NA
"C0032105","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032105","Plasma"
"C0443120","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0443120","Plasma product (product)"
"C1546740","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1546740","Specimen Source Codes - Plasma"
"C1609077","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1609077","Plasma - SpecimenType"
"C4521445","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4521445","Plasma Product"
"C0565532","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0565532","Plasma/plasma substitute transfusion"
"C5142690","LNC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C5142690","Plasma cells.polyclonal/Plasma cells.total"
"C0007603","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0007603","Plasma membrane"
"C0008429","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0008429","Cholinesterases"
"C0015528","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0015528","factor XIII"
"C0016709","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0016709","Fresh frozen plasma"
"C0019653","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0019653","Genus Histoplasma"
"C0032112","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032112","Plasma Cells"
"C0032113","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032113","Plasma Exchange"
"C0032118","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032118","Plasma Prokallikrein A"
"C0032120","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032120","Plasma Proteins"
"C0032121","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032121","Plasma Substitutes"
"C0032125","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032125","Plasma Transglutaminase"
"C0032127","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032127","Blood Plasma Volume"
"C0032134","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032134","Plasmapheresis"
"C0033024","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0033024","Prekallikrein"
"C0036825","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0036825","Serum Proteins"
"C0039820","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0039820","Thermoplasma"
"C0041944","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0041944","Ureaplasma"
"C0050970","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0050970","aggrexon A"
NA,NA,NA,NA
"C0005841","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0005841","Blood Transfusion"
"C0371802","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0371802","Transfusion, blood or blood components"
"C0005842","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0005842","Blood Transfusion, Autologous"
"C0005843","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0005843","Blood Transfusion, Intrauterine"
"C0015236","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0015236","Exchange Transfusion, Whole Blood"
"C0029861","ICD9CM","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0029861","Other transfusion of whole blood"
"C0085430","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0085430","Blood Component Transfusion"
"C0086252","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0086252","Red Blood Cell Transfusion"
"C0086548","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0086548","Leukocyte Transfusion"
"C0086818","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0086818","Platelet Transfusion"
"C0161841","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0161841","Mismatched blood transfused"
"C0178192","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0178192","Packed blood cell transfusion"
"C0179335","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0179335","Blood administration set"
"C0181269","UMD","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0181269","Identification Systems, Blood Transfusion"
"C0199961","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0199961","Whole blood transfusion"
"C0199964","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0199964","Plasma expander transfusion"
"C0274435","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0274435","Transfusion Reaction"
"C0281867","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0281867","History of - blood transfusion"
"C0371803","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0371803","Neonatal exchange transfusion"
"C0398318","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0398318","Intra-arterial blood transfusion"
"C0410888","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0410888","Fetoscopic blood transfusion of fetus"
"C0427619","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427619","Blood transfusion finding"
"C0430274","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0430274","Blood transfusion test"
"C0456675","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0456675","Massive blood transfusion"
"C0476058","RCD","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0476058","Regional Blood Transfusion Centre"
NA,NA,NA,NA
"NONE",NA,NA,"NO RESULTS"
NA,NA,NA,NA
"C0005821","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0005821","Blood Platelets"
"C0032181","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032181","Platelet Count measurement"
"C0443116","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0443116","Platelets Product"
"C1963076","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1963076","Platelets, CTCAE"
"C2363831","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2363831","Platelet-large cell ratio"
"C0005818","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0005818","Blood Platelet Disorders"
"C0032176","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032176","Platelet aggregation"
"C0032188","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032188","Platelet Inhibitors"
"C0032202","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0032202","Therapeutic plateletpheresis"
"C0086818","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0086818","Platelet Transfusion"
"C0151854","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0151854","Abnormal platelets"
"C0200642","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0200642","Platelet estimate"
"C0235604","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0235604","Qualitative platelet deficiency"
"C0333864","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0333864","Giant platelet (morphologic abnormality)"
"C0363450","LNC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0363450","Platelets given:Vol:Pt:Dose:Qn"
"C0369870","LNC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0369870","Platelets given"
"C0392386","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0392386","Decreased platelet count"
"C0427569","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427569","Platelet clumps"
"C0443117","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0443117","Platelets - irradiated (product)"
"C0456525","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0456525","platelets/L"
"C0487681","LNC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0487681","Transfuse platelets"
"C0677599","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0677599","Platelet aggregation test result"
"C0679429","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0679429","Platelet dysfunction"
"C0857460","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0857460","Increased number of platelets"
"C1096367","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1096367","Increased mean platelet volume"
NA,NA,NA,NA
"C0456388","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0456388","Blood product"
"C0371802","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0371802","Transfusion, blood or blood components"
"C1511229","NCI","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1511229","Blood and Blood Products"
"C3516500","CPT","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3516500","Splitting of blood or blood products"
"C0005841","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0005841","Blood Transfusion"
"C0018928","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0018928","Hematinics"
"C0150150","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0150150","Administration of blood product"
"C0200620","CPT","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0200620","Irradiation of blood product, each unit"
"C0486441","VANDF","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0486441","BLOOD PRODUCTS,OTHER"
"C0508239","NIC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0508239","Administer blood products (e.g., platelets and fresh frozen plasma), as appropriate"
"C0508240","NIC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0508240","Administer blood products, as prescribed"
"C0547655","PCDS","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0547655","MEDICATIONS AND BLOOD PRODUCTS COMPONENT"
"C0549073","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0549073","Assessment: Medications and Blood Products"
"C0677569","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0677569","Protocols: Medications and Blood Products"
"C0840999","ICD10AM","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0840999","Other blood products donor"
"C2018971","MEDCIN","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2018971","splitting of blood products"
"C2202702","CPT","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2202702","Volume reduction of blood product"
"C3525890","CPT","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3525890","Pooling of blood products"
"C3653509","ATC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3653509","Blood tests, auxiliary products"
"C3653510","ATC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3653510","Blood transfusion, auxiliary products"
"C3653602","ATC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3653602","BLOOD AND RELATED PRODUCTS"
"C3653888","ATC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3653888","Other blood products in ATC"
"C3828536","NCI","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3828536","Plasma Protein Cryoprecipitation"
"C3831327","NCI","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3831327","Blood Product Storage"
"C3831328","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3831328","Blood Products Laboratory Testing"
NA,NA,NA,NA
"NONE",NA,NA,"NO RESULTS"
NA,NA,NA,NA
"C0311468","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0311468","Increased bilirubin level (finding)"
"C0741494","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0741494","Elevated total bilirubin"
"C0860930","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0860930","Bilirubin non-glucuronides high"
"C2711128","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2711128","Serum bilirubin borderline high"
"C0857007","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0857007","Hyperbilirubinemia, Neonatal"
"C0941345","LNC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0941345","Bilirubin crystals:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF"
NA,NA,NA,NA
"NONE",NA,NA,"NO RESULTS"
NA,NA,NA,NA
"C0200949","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0200949","Blood culture"
"C0547598","PCDS","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0547598","Monitor blood cultures."
"C0740299","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0740299","Blood culture positive for microorganism"
"C0852859","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0852859","Blood culture negative"
"C0545190","SNM","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0545190","Subculture, presence of growth (e.g. from blood cultures)"
"C4710261","NIC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4710261","Collect blood, urine, sputum, and wound cultures for temperatures greater than 38 degrees C, as appropriate"
"C3248168","CPT","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3248168","Comparative analysis using Short Tandem Repeat (STR) markers; each additional specimen (eg, additional cord blood donor, additional fetal samples from different cultures, or additional zygosity in multiple birth pregnancies) (List separately in addition to code for primary procedure)"
NA,NA,NA,NA
"C0201934","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0201934","Cardiac enzymes measurement"
"C0428318","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0428318","Cardiac enzyme levels"
"C0443763","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0443763","Cardiac enzymes"
"C2926589","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2926589","Cardiac enzymes:Finding:Point in time:^Patient:Ordinal"
"C0420646","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0420646","Blood sent: cardiac enzymes"
"C0428319","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0428319","Cardiac enzymes equivocal"
"C0438238","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0438238","Cardiac enzymes normal"
"C0438239","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0438239","Cardiac enzymes abnormal"
"C0741921","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0741921","Cardiac enzymes increased"
"C1707297","NCI","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1707297","Cardiac Enzyme Elevation"
"C0586984","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0586984","Cardiac enzymes abnormal - first set"
"C2008422","MEDCIN","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2008422","cardiac catheterization post-procedure data: serial cardiac enzymes"
"C4711803","NIC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4711803","Obtain laboratory values for serum electrolytes, urinalysis, cardiac enzymes, liver enzymes, and complete blood count and monitor results"
"C0811593","NIC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0811593","Monitor appropriate laboratory values (e.g., cardiac enzymes, electrolyte levels)"
"C2924468","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2924468","Mention of the participant having either trauma, a surgical procedure, or rhabdomyolysis within 1W prior to the cardiac enzymes measurement"
"C2926062","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2926062","Mention of the participant having either trauma, a surgical procedure, or rhabdomyolysis within 1W prior to the cardiac enzymes measurement:Finding:Point in time:^Patient:Ordinal"
"C4713662","NIC","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4713662","Monitor for inadequate coronary artery perfusion (ST changes on EKG, elevated cardiac enzymes, angina), as appropriate"
NA,NA,NA,NA
"NONE",NA,NA,"NO RESULTS"
NA,NA,NA,NA
"C0519824","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0519824","Electrolyte panel This panel must include the following: Carbon dioxide (bicarbonate) (82374) Chloride (82435) Potassium (84132) Sodium (84295)"
"C4281911","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4281911","blood electrolyte panel"
"C0812707","ALT","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0812707","Electrolyte panel each test"
"C3161808","MEDCIN","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3161808","urine electrolyte panel"
NA,NA,NA,NA
"C0028792","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0028792","Occult blood screen"
"C2188744","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2188744","urine occult blood"
"C2698644","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2698644","Occult Blood Measurement"
"C0182824","UMD","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0182824","Reagents, Occult Blood, Fecal"
"C0201811","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0201811","Fecal occult blood test"
"C0266813","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0266813","Fecal occult blood: positive"
"C0427447","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427447","Vomit occult blood measurement"
"C0427448","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427448","Vomit occult blood positive"
"C0427449","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0427449","Vomit occult blood negative"
"C0474291","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0474291","Fecal occult blood requested"
"C0474537","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0474537","Fecal occult blood: negative"
"C0474538","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0474538","Fecal occult blood: trace"
"C0492367","SPN","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0492367","BLOOD, OCCULT, COLORIMETRIC, IN URINE"
"C0492753","SPN","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0492753","REAGENT, OCCULT BLOOD"
"C0523415","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0523415","Gastrointestinal occult blood test"
"C0775105","NDDF","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0775105","occult blood test,slides MISCELL MISCELLANEOUS"
"C0775107","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0775107","Occult Blood Test Strip"
"C0785112","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0785112","Occult Blood Test device"
"C0877047","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0877047","Occult blood positive"
"C0919712","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0919712","Occult blood negative"
"C0948354","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0948354","Urinary occult blood positive"
"C1140589","UMD","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1140589","Reagents, Occult Blood, Gastric"
"C1178006","NDDF","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1178006","occult blood test, tablets MISCELL TABLET"
"C1304710","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1304710","Vomit occult blood result"
"C1321980","NDDF","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1321980","occult blood test,solution"
NA,NA,NA,NA
"C0020283","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0020283","Hydrogen-Ion Concentration"
"C0031526","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0031526","Philadelphia Chromosome"
"C0031529","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0031529","Philippines"
"C0202165","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0202165","Hydrogen ion concentration measurement"
"C0332119","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0332119","Past history of"
"C0364896","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0364896","pH:LsCnc:Pt:Ser/Plas:Qn"
"C1304686","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1304686","Finding of pH"
"C1418251","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1418251","PAH gene"
"C4049686","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4049686","Infusion pump Alert priority PH"
"C4318402","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C4318402","Pancreatic Hormone, human"
"C0450407","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0450407","ph+"
"C0450408","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0450408","ph++"
"C0450409","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0450409","ph+++"
"C0856536","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0856536","Philadelphia chromosome positive"
"C3888511","MDR","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C3888511","Philadelphia chromosome negative"
"C0001117","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0001117","Acid-Base Equilibrium"
"C0003840","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0003840","Physiologic Health: Arterial pH"
"C0023453","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0023453","L2 Acute Lymphoblastic Leukemia"
"C0023473","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0023473","Myeloid Leukemia, Chronic"
"C0042044","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0042044","Urine pH measurement"
"C0049951","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0049951","7-nitrobenz-2-oxa-1,3-diazole-phallacidin"
"C0070497","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0070497","Ph CL 28A"
"C0070805","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0070805","phosphatidylinositol mannoside"
"C0073244","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0073244","ribonuclease PH"
"C0136397","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0136397","PH 203"
NA,NA,NA,NA
"C0019046","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0019046","Hemoglobin"
"C0518015","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0518015","Hemoglobin measurement"
"C1561562","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1561562","Hemoglobin finding"
"C2239101","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C2239101","Hemoglobin, CTCAE"
"C0019016","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0019016","Hemoglobin A"
"C0062245","MSH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0062245","hemoglobin AS"
"C0313263","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C0313263","Hemoglobin A,a"
"C1281911","MTH","https://uts-ws.nlm.nih.gov/rest/content/2020AB/CUI/C1281911","Hemoglobin A measurement"
